name,company,year,Price,kms_driven,fuel_type
Toyota Corolla Altis VXI,Toyota,2018,"261,287",65929,Diesel
Maruti Celerio VXI,Maruti,2018,"161,073",54351,Diesel
Mercedes GLC LXI,Mercedes,2008,"36,829",212993,Diesel
Datsun GO VXI,Datsun,2015,"37,853",91630,Petrol
Nissan Kicks VXI,Nissan,2019,"127,751",73979,Petrol
Honda Jazz ZXI,Honda,2017,"191,730",51434,Petrol
Maruti Ignis VXI,Maruti,2017,"76,724",89634,Petrol
Volkswagen Vento VXI,Volkswagen,2011,"38,671",182534,Diesel
Honda WR-V LXI,Honda,2016,"188,008",71956,Diesel
Skoda Octavia LXI,Skoda,2021,"313,595",45142,Petrol
Nissan Terrano VXI,Nissan,2018,"110,204",75395,Petrol
Hyundai Verna ZXI,Hyundai,2018,"188,643",50590,Diesel
Renault Triber ZXI,Renault,2019,Ask For Price,33480,Diesel
Jaguar XF ZXI,Jaguar,2017,Ask For Price,102516,Diesel
Toyota Corolla Altis ZXI,Toyota,2011,Ask For Price,164686,Petrol
Toyota Corolla Altis ZXI,Toyota,2013,Ask For Price,141166,Diesel
Fiat Punto ZXI,Fiat,2019,Ask For Price,52642,Petrol
Renault Kwid LXI,Renault,2017,Ask For Price,86748,Diesel
BMW X1 LXI,BMW,2013,Ask For Price,106263,Petrol
Mahindra Bolero VXI,Mahindra,2016,Ask For Price,58655,Petrol
Hindustan Ambassador ZXI,Hindustan,2011,Ask For Price,161512,Petrol
Toyota Corolla Altis VXI,Toyota,2017,Ask For Price,69171,Diesel
Mahindra KUV100 LXI,Mahindra,2015,Ask For Price,79588,Diesel
Tata Tigor LXI,Tata,2017,Ask For Price,76614,Petrol
Chevrolet Cruze LXI,Chevrolet,2013,Ask For Price,131507,Petrol
Renault Triber VXI,Renault,2013,Ask For Price,106158,Diesel
Force Gurkha VXI,Force,2010,Ask For Price,182200,Petrol
Nissan Micra VXI,Nissan,2017,Ask For Price,93098,Diesel
Fiat Punto VXI,Fiat,2010,Ask For Price,179787,Diesel
Force Gurkha LXI,Force,2018,Ask For Price,94335,Petrol
Honda Accord ZXI,Honda,2017,Ask For Price,78983,Petrol
Force Gurkha LXI,Force,2010,Ask For Price,153239,LPG
Mahindra Bolero VXI,Mahindra,2018,Ask For Price,89324,LPG
Ford Figo ZXI,Ford,2012,Ask For Price,154215,Petrol
Datsun GO+ ZXI,Datsun,2009,Ask For Price,192732,Diesel
Ford Figo LXI,Ford,2012,Ask For Price,138152,Diesel
Renault Triber LXI,Renault,2018,Ask For Price,85179,LPG
Fiat Linea LXI,Fiat,2018,Ask For Price,57113,Diesel
Datsun GO ZXI,Datsun,2013,Ask For Price,122332,Diesel
Tata Altroz VXI,Tata,2014,Ask For Price,119652,Petrol
Datsun Redi-GO LXI,Datsun,2011,Ask For Price,156707,LPG
Chevrolet Spark VXI,Chevrolet,2021,Ask For Price,49860,Petrol
Mahindra Thar ZXI,Mahindra,2012,41133,140480,
Mahindra XUV500 ZXI,Mahindra,2008,37168,178617,
Renault Triber VXI,Renault,2015,43684,100595,
Hindustan Ambassador LXI,Hindustan,2013,39936,122771,
Chevrolet Cruze VXI,Chevrolet,2010,42103,159467,
Datsun Redi-GO VXI,Datsun,2010,40645,174118,
Hyundai Santro VXI,Hyundai,2023,242119,21448,
Force Gurkha VXI,Force,2011,44096,172243,
Hyundai Verna VXI,Hyundai,2014,34069,106437,
Nissan Terrano VXI,Nissan,2016,50834,100418,
MG Hector ZXI,MG,2008,33737,175880,
Nissan Micra LXI,Nissan,2009,38941,179192,
Chevrolet Beat VXI,Chevrolet,2011,42648,157112,
Force Gurkha LXI,Force,2022,264553,27171,
Hindustan Ambassador VXI,Hindustan,2016,62619,112254,
Renault Kwid VXI,Renault,2013,45962,126436,
Mahindra KUV100 ZXI,Mahindra,2020,146309,60686,
Mahindra Thar VXI,Mahindra,2013,40609,129464,
Fiat Linea VXI,Fiat,2016,42625,110730,
Datsun GO+ ZXI,Datsun,2016,88223,97827,
Skoda Superb ZXI,Skoda,2019,205828,,LPG
Nissan Micra VXI,Nissan,2014,44087,,Diesel
Maruti Celerio LXI,Maruti,2017,78828,,Petrol
Tata Tigor ZXI,Tata,2012,41053,,Diesel
Datsun Redi-GO LXI,Datsun,2009,41244,,Petrol
Fiat Linea VXI,Fiat,2014,38796,,LPG
Volvo XC40 ZXI,Volvo,2016,252401,,LPG
Maruti Baleno LXI,Maruti,2017,151816,,Diesel
Force Gurkha VXI,Force,2014,73330,,Diesel
Fiat Linea LXI,Fiat,2010,41325,,Diesel
Hyundai Grand i10 VXI,Hyundai,2019,197560,,Diesel
Nissan Terrano LXI,Nissan,2019,131142,,Petrol
Hindustan Ambassador VXI,Hindustan,2011,40291,,Diesel
Tata Safari ZXI,Tata,2017,116119,,Petrol
Renault Duster ZXI,Renault,2019,155823,,Diesel
Force Gurkha ZXI,Force,2016.0,96800,77222,Diesel
Skoda Rapid LXI,Skoda,2013.0,31246,146576,Diesel
Chevrolet Spark LXI,Chevrolet,2020.0,128230,39836,Petrol
Fiat Punto ZXI,Fiat,2019.0,152225,78802,Diesel
Ford Endeavour VXI,Ford,2016.0,76681,76883,LPG
Ford Aspire VXI,Ford,2017.0,125866,73732,Diesel
Volkswagen Vento VXI,Volkswagen,2012.0,36206,152870,Diesel
Kia Sonet VXI,Kia,2016.0,143303,102459,Diesel
Volkswagen Tiguan VXI,Volkswagen,2014.0,37411,103424,Petrol
Nissan Kicks VXI,Nissan,2012.0,39230,145638,Petrol
Hindustan Ambassador VXI,Hindustan,2011,39396,153258,Diesel
Nissan Terrano LXI,Nissan,2010,41582,146055,Petrol
Mahindra Thar ZXI,Mahindra,2017,117668,81047,Diesel
Volkswagen Tiguan VXI,Volkswagen,2015,134833,96426,Diesel
Volkswagen Polo ZXI,Volkswagen,2009,38196,211467,Diesel
Force Gurkha ZXI,Force,2022,284033,11115,Petrol
Honda WR-V VXI,Honda,2020,356429,43897,Diesel
Ford Aspire ZXI,Ford,2014,36091,137885,Diesel
Tata Tigor LXI,Tata,2016,91008,111906,Diesel
Fiat Punto ZXI,Fiat,2017,88100,70623,Petrol
Maruti Celerio VXI,Maruti,2014,33670,113859,LPG
Kia Carnival LXI,Kia,2018,212422,96554,Diesel
Renault Triber VXI,Renault,2016,97824,93286,Diesel
Chevrolet Cruze VXI,Chevrolet,2008,38382,182333,Diesel
Chevrolet Spark LXI,Chevrolet,2011,44355,169577,Petrol
Renault Triber ZXI,Renault,2014,41264,111347,LPG
Force Gurkha VXI,Force,2017,135502,101111,Diesel
Hyundai i10 LXI,Hyundai,2016,107951,88450,Diesel
Hyundai Creta LXI,Hyundai,2016,54535,89579,LPG
Hyundai Creta VXI,Hyundai,2021,281145,31394,Diesel
Force Gurkha VXI,Force,2020,223575,44893,Petrol
Tata Tigor VXI,Tata,2009,44275,185534,Diesel
Volkswagen Vento LXI,Volkswagen,2015,41204,122655,LPG
Skoda Octavia LXI,Skoda,2022,335373,6278,LPG
Ford Endeavour VXI,Ford,2016,66966,76066,Petrol
Nissan Micra VXI,Nissan,2008,38841,199956,Petrol
Hindustan Ambassador VXI,Hindustan,2019,138380,69716,Diesel
Force Gurkha LXI,Force,2021,301376,26284,LPG
Force Gurkha VXI,Force,2015,36991,112854,LPG
Nissan Kicks LXI,Nissan,2009,46326,193328,Diesel
Fiat Linea LXI,Fiat,2014,41191,85198,Petrol
Maruti Baleno ZXI,Maruti,2012,43389,142972,Diesel
Toyota Innova ZXI,Toyota,2010,35220,160156,Diesel
Tata Harrier ZXI,Tata,2017,100970,67650,LPG
Datsun Redi-GO VXI,Datsun,2008,39295,173850,Diesel
Honda Accord LXI,Honda,2020,358429,40329,Diesel
Fiat Linea ZXI,Fiat,2013,37680,145111,Petrol
Mahindra KUV100 LXI,Mahindra,2016,64668,93483,Petrol
Datsun Redi-GO ZXI,Datsun,2008,39456,197200,LPG
Jaguar XF ZXI,Jaguar,2011,45381,133728,LPG
Force Gurkha LXI,Force,2009,37264,172099,Petrol
Hindustan Ambassador VXI,Hindustan,2009,34790,192804,Diesel
Ford Aspire VXI,Ford,2009,40511,171555,Diesel
Hindustan Ambassador LXI,Hindustan,2008,41341,192328,Petrol
Mahindra XUV500 ZXI,Mahindra,2015,33774,108714,Petrol
Ford Figo LXI,Ford,2017,148462,86520,Diesel
Mahindra Scorpio LXI,Mahindra,2020,177084,36873,LPG
Jeep Meridian VXI,Jeep,2010,36520,162914,Diesel
Tata Safari LXI,Tata,2014,32497,131427,Diesel
Hindustan Ambassador ZXI,Hindustan,2013,36724,157669,Petrol
Renault Kwid ZXI,Renault,2008,38342,198788,Diesel
Ford Figo LXI,Ford,2015,39575,115281,LPG
Force Gurkha ZXI,Force,2016,144485,82441,Diesel
Hyundai Creta VXI,Hyundai,2013,34550,139824,Diesel
Force Gurkha ZXI,Force,2020,234410,66944,Diesel
Hyundai i10 ZXI,Hyundai,2011,37300,121849,Diesel
Maruti Ignis VXI,Maruti,2011,41424,132365,Diesel
Kia Carnival VXI,Kia,2012,38968,115652,Petrol
Hindustan Ambassador VXI,Hindustan,2015,47585,115812,Diesel
Ford Figo LXI,Ford,2022,261252,22558,Diesel
BMW X1 VXI,BMW,2018,261867,83371,Petrol
Force Gurkha LXI,Force,2017,168718,82361,Diesel
Hindustan Ambassador VXI,Hindustan,2020,145093,39306,Petrol
Nissan Kicks VXI,Nissan,2018,129451,59778,Petrol
Chevrolet Beat ZXI,Chevrolet,2008,35042,218555,Diesel
Maruti Ignis LXI,Maruti,2010,37259,183576,Petrol
MG Astor ZXI,MG,2018,210515,83408,Diesel
Renault Duster VXI,Renault,2018,105257,72290,Petrol
Ford Figo ZXI,Ford,2010,36951,151662,Diesel
Hindustan Ambassador ZXI,Hindustan,2022,203670,26606,Diesel
Mahindra KUV100 VXI,Mahindra,2016,53623,103049,Petrol
Hyundai Verna VXI,Hyundai,2011,41561,153103,Petrol
Hindustan Ambassador ZXI,Hindustan,2014,44587,102631,Diesel
Skoda Rapid ZXI,Skoda,2017,212382,85548,Diesel
Tata Nexon VXI,Tata,2015,78269,99774,Diesel
Kia Sonet ZXI,Kia,2018,203897,69943,Petrol
Tata Harrier VXI,Tata,2015,42372,100187,Petrol
Hindustan Ambassador VXI,Hindustan,2017,74038,69189,Petrol
Hyundai Grand i10 VXI,Hyundai,2017,138490,90639,Diesel
Hyundai Santro VXI,Hyundai,2020,239212,42416,Diesel
Tata Safari LXI,Tata,2012,38834,159970,Diesel
Mahindra Scorpio VXI,Mahindra,2018,166270,68179,Diesel
Maruti Wagon R VXI,Maruti,2008,41528,172779,Diesel
Renault Triber ZXI,Renault,2023,218542,5000,Petrol
Datsun Redi-GO VXI,Datsun,2012,37995,124092,Diesel
Hindustan Ambassador VXI,Hindustan,2012,41481,152652,Diesel
Mahindra Thar LXI,Mahindra,2009,40664,178120,Petrol
Hyundai i20 LXI,Hyundai,2016,79271,81498,LPG
Tata Nexon LXI,Tata,2016,44796,118702,Petrol
Fiat Punto VXI,Fiat,2015,79427,89089,Diesel
Renault Duster ZXI,Renault,2018,177367,52563,Diesel
Mahindra Thar LXI,Mahindra,2013,36985,108222,Petrol
Tata Harrier ZXI,Tata,2023,275352,24710,Diesel
Nissan Kicks ZXI,Nissan,2014,34812,129150,Diesel
Force Gurkha VXI,Force,2015,48009,104747,Petrol
Ford Aspire VXI,Ford,2018,122583,80370,Petrol
Renault Duster ZXI,Renault,2008,33368,216523,LPG
Volkswagen Ameo VXI,Volkswagen,2019,251012,45316,LPG
Ford EcoSport VXI,Ford,2009,42785,176856,Diesel
Kia Sonet VXI,Kia,2011,39457,149002,Petrol
Hyundai Grand i10 VXI,Hyundai,2012,36122,145016,Diesel
Hindustan Ambassador VXI,Hindustan,2009,53126,163095,LPG
Maruti Alto LXI,Maruti,2009,45702,186120,Diesel
Land Defender ZXI,Land,2015,240485,114652,Diesel
Nissan Micra LXI,Nissan,2016,43921,113229,Petrol
Volkswagen Ameo VXI,Volkswagen,2020,264495,45594,Petrol
Chevrolet Beat VXI,Chevrolet,2011,43968,169302,Diesel
Tata Nexon VXI,Tata,2019,216514,39539,Diesel
Mahindra Thar ZXI,Mahindra,2008,36041,190014,Diesel
Fiat Linea ZXI,Fiat,2016,64278,90585,Petrol
Renault Duster VXI,Renault,2019,116970,80171,LPG
BMW 5 Series ZXI,BMW,2020,540905,80860,Diesel
Kia Sonet ZXI,Kia,2014,48381,139922,Diesel
Mahindra XUV500 VXI,Mahindra,2019,140545,77765,LPG
BMW X1 VXI,BMW,2022,728216,18111,Diesel
Tata Altroz VXI,Tata,2017,81713,89973,Petrol
Nissan Kicks LXI,Nissan,2014,42118,97665,Petrol
Force Gurkha VXI,Force,2013,41422,136901,Diesel
Tata Tigor ZXI,Tata,2013,44879,132234,Diesel
Datsun Redi-GO LXI,Datsun,2020,188396,30206,Diesel
Hyundai i20 VXI,Hyundai,2009,40056,172666,LPG
Nissan Micra VXI,Nissan,2021,214459,43302,Diesel
Tata Altroz ZXI,Tata,2019,177883,65578,Diesel
Maruti Swift VXI,Maruti,2016,102291,83776,Diesel
Mahindra Thar LXI,Mahindra,2010,40732,173265,Diesel
Hindustan Ambassador VXI,Hindustan,2013,43589,126060,Diesel
Toyota Innova VXI,Toyota,2012,45517,135016,Petrol
Skoda Octavia VXI,Skoda,2017,248648,58053,Diesel
Kia Seltos VXI,Kia,2019,284206,60491,Diesel
Hyundai i20 LXI,Hyundai,2011,40945,142383,LPG
Fiat Punto ZXI,Fiat,2013,44253,134419,Petrol
Fiat Punto ZXI,Fiat,2014,48250,136451,Petrol
Renault Triber VXI,Renault,2017,145139,84364,Diesel
Hyundai i20 VXI,Hyundai,2012,45872,155637,Petrol
Hindustan Ambassador VXI,Hindustan,2021,158731,27112,Petrol
Tata Tiago VXI,Tata,2015,45015,88436,LPG
Hindustan Ambassador VXI,Hindustan,2015,46777,128365,Petrol
Maruti Ertiga VXI,Maruti,2008,39940,192773,Diesel
Fiat Linea LXI,Fiat,2019,93926,99034,Petrol
Chevrolet Beat ZXI,Chevrolet,2011,36688,151598,Petrol
Renault Triber LXI,Renault,2012,43690,108473,Diesel
Hyundai Venue LXI,Hyundai,2010,42609,163043,Petrol
Hindustan Ambassador VXI,Hindustan,2014,42423,132909,Diesel
Mahindra KUV100 LXI,Mahindra,2019,166271,59286,Petrol
Fiat Linea VXI,Fiat,2008,46924,198444,Petrol
Honda Amaze VXI,Honda,2012,37492,138856,Petrol
Jaguar XF VXI,Jaguar,2015,108551,113758,Petrol
Skoda Rapid VXI,Skoda,2020,308520,52858,Petrol
Renault Duster VXI,Renault,2013,44910,138969,Petrol
Honda Jazz LXI,Honda,2018,173740,78546,Petrol
Tata Tigor ZXI,Tata,2016,109042,87975,Diesel
Nissan Terrano LXI,Nissan,2016,111338,84399,Diesel
Nissan Kicks VXI,Nissan,2021,250438,10053,Diesel
Force Gurkha ZXI,Force,2015,62213,134904,Diesel
Toyota Etios VXI,Toyota,2009,39730,186798,Diesel
Hyundai Venue VXI,Hyundai,2009,35305,142023,Diesel
Tata Harrier LXI,Tata,2010,39556,171076,Diesel
Hindustan Ambassador VXI,Hindustan,2019,104599,51004,Petrol
Honda Amaze VXI,Honda,2019,261161,93539,Diesel
Fiat Linea VXI,Fiat,2021,175730,43893,Petrol
Datsun Redi-GO VXI,Datsun,2021,151113,29773,Petrol
Tata Tiago ZXI,Tata,2022,256229,18506,Diesel
Maruti Wagon R LXI,Maruti,2014,39222,115150,Diesel
Fiat Punto ZXI,Fiat,2009,38701,175504,LPG
Volkswagen Polo LXI,Volkswagen,2013,35173,141721,Diesel
Mahindra Scorpio LXI,Mahindra,2013,38888,131129,LPG
Datsun GO VXI,Datsun,2018,105660,63355,LPG
Datsun Redi-GO VXI,Datsun,2009,41943,154370,Petrol
Hyundai Creta ZXI,Hyundai,2018,123441,75145,Petrol
Tata Safari VXI,Tata,2011,39235,164425,Diesel
Kia Seltos LXI,Kia,2016,101997,89286,Petrol
Toyota Glanza VXI,Toyota,2012,42917,133836,Diesel
Fiat Linea ZXI,Fiat,2016,42661,112816,Petrol
Hyundai Verna LXI,Hyundai,2018,177487,84423,Diesel
MG Hector ZXI,MG,2016,101570,88103,Petrol
Honda Jazz VXI,Honda,2015,154327,80859,Diesel
Hindustan Ambassador VXI,Hindustan,2016,43699,124481,Petrol
Ford Endeavour LXI,Ford,2014,38861,146854,Petrol
Jeep Compass VXI,Jeep,2014,37598,125841,Petrol
Honda Accord ZXI,Honda,2019,304271,62052,Diesel
Skoda Octavia LXI,Skoda,2008,37896,209185,Petrol
Datsun Redi-GO VXI,Datsun,2021,183016,23168,LPG
Volvo XC60 LXI,Volvo,2011,41823,186558,Diesel
Chevrolet Beat VXI,Chevrolet,2021,195805,63438,Diesel
Hyundai Venue LXI,Hyundai,2015,47279,134948,LPG
Datsun GO+ ZXI,Datsun,2009,42851,149017,Diesel
Datsun Redi-GO VXI,Datsun,2009,42268,201611,Diesel
Volkswagen Polo LXI,Volkswagen,2012,43975,144053,Diesel
Chevrolet Cruze ZXI,Chevrolet,2013,37567,127321,LPG
Renault Kwid VXI,Renault,2017,153209,68034,Diesel
Datsun Redi-GO ZXI,Datsun,2015,47134,121500,Diesel
Hyundai Verna VXI,Hyundai,2019,159468,52113,Petrol
Nissan Micra LXI,Nissan,2021,244500,23059,Diesel
Mahindra Bolero LXI,Mahindra,2011,39778,154429,Diesel
Renault Triber VXI,Renault,2013,40373,118507,Diesel
Nissan Terrano LXI,Nissan,2021,241091,42837,Diesel
Force Gurkha VXI,Force,2008,29686,162952,Diesel
Force Gurkha ZXI,Force,2009,44743,166898,LPG
Force Gurkha VXI,Force,2009,43908,175403,Diesel
Chevrolet Spark VXI,Chevrolet,2017,113149,77990,Diesel
Datsun GO+ LXI,Datsun,2016,58919,88684,Petrol
Land Rover Discovery ZXI,Land,2018,509944,56785,Petrol
Volkswagen Vento LXI,Volkswagen,2022,382834,42572,Petrol
Datsun GO+ LXI,Datsun,2012,40085,155986,Petrol
Renault Kwid LXI,Renault,2018,103997,61809,LPG
Tata Nexon VXI,Tata,2008,36200,211637,Diesel
Mercedes C-Class VXI,Mercedes,2017,431647,81344,Diesel
Kia Seltos ZXI,Kia,2010,42220,147100,Petrol
Tata Tigor ZXI,Tata,2022,218243,34614,Petrol
Maruti Swift VXI,Maruti,2017,112471,77567,Diesel
Force Gurkha VXI,Force,2008,35539,180526,Petrol
Jeep Compass ZXI,Jeep,2019,303676,56969,Petrol
Hyundai Santro LXI,Hyundai,2009,43760,151990,Petrol
Hyundai Venue ZXI,Hyundai,2016,69257,115766,Diesel
Chevrolet Cruze LXI,Chevrolet,2022,204638,23461,Petrol
Force Gurkha ZXI,Force,2013,37084,149822,LPG
Hindustan Ambassador ZXI,Hindustan,2008,37275,200494,Diesel
Mahindra XUV500 LXI,Mahindra,2014,52450,115249,Diesel
Force Gurkha VXI,Force,2017,99192,90214,LPG
Hyundai Verna VXI,Hyundai,2018,119135,56100,Petrol
Volkswagen Polo VXI,Volkswagen,2008,42422,174675,LPG
MG Astor VXI,MG,2009,40442,162738,Diesel
Mahindra XUV500 ZXI,Mahindra,2009,39258,202116,Diesel
Ford EcoSport LXI,Ford,2018,116508,88691,Petrol
BMW 5 Series VXI,BMW,2019,387384,64034,LPG
Hyundai Creta VXI,Hyundai,2015,86823,94097,Diesel
Honda WR-V VXI,Honda,2019,245067,52872,LPG
Datsun GO ZXI,Datsun,2012,34334,156198,Diesel
Force Gurkha VXI,Force,2017,160021,80725,Diesel
Fiat Linea VXI,Fiat,2011,36654,153035,LPG
Skoda Octavia ZXI,Skoda,2010,38971,154131,Petrol
Jeep Compass LXI,Jeep,2011,43079,172126,Diesel
Skoda Kushaq LXI,Skoda,2017,142709,96095,Petrol
Datsun GO+ LXI,Datsun,2019,137562,84479,Diesel
Fiat Linea VXI,Fiat,2009,37923,176688,Petrol
Skoda Superb VXI,Skoda,2015,163083,102296,Diesel
Mahindra Bolero LXI,Mahindra,2023,369966,5000,Diesel
Chevrolet Spark VXI,Chevrolet,2016,53814,82886,Petrol
Hindustan Ambassador VXI,Hindustan,2010,34099,161745,LPG
